review,Cleaned_text,sentiment_nolan
"Do you REALLY think this was a better film than the Godfather? The Good, the Bad and the Ugly? The Seven Samurai, Pulp Fiction? OK, the Joker was a stand out performance, and the rest were good, but was this really the best film of all time? Can't see how that happened, and in 30 years this will sink to the middle of the pile where it should be.

You want an examination of good and evil and the duality of man? Watch the King of New York. It's a better film than this. I'm not saying it's not worth seeing, but please, this is NOT the best film of all time.....

This may be the best Batman film we've seen, but frankly I enjoyed Iron Man more. The action was good, the story reasonable, and there were some good supporting acts, but the whole experience doesn't move you like the Shawshank redemption, it wasn't a seismic shift in film-making like Pulp Fiction or the Godfather. The direction - better than Sergio Leone? The film hasn't been hyped that much, so where is this coming from?",do you realli think thi wa a better film than the godfath the good the bad and the ugli the seven samurai pulp fiction ok the joker wa a stand out perform and the rest were good but wa thi realli the best film of all time cant see how that happen and in year thi will sink to the middl of the pile where it should be you want an examin of good and evil and the dualiti of man watch the king of new york it a better film than thi im not say it not worth see but plea thi is not the best film of all time thi may be the best batman film weve seen but frankli i enjoy iron man more the action wa good the stori reason and there were some good support act but the whole experi doesnt move you like the shawshank redempt it wasnt a seismic shift in filmmak like pulp fiction or the godfath the direct better than sergio leon the film hasnt been hype that much so where is thi come from,Neutral
"Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all of my expectations!!! With the success of 2005's reboot of the Batman franchise, they took what was already established and expanded it, amped it up, and gave a deeper, darker and brooding story that is more gripping and the suspense is likely to catch you of guard several times throughout. Christian Bale delves more deeper into Batman, sworn to fight evil and injustice, though also quite reluctant and uncertain if his crusade can ever end and cleanse his inner turmoil from his fractured soul due to the murder of his beloved parents. But with the help of his trusted butler/ally Alfred (played superbly by Michael Cane) grounds him, gives him moral support, and keeps him in check. But the real star of the show is Heath Ledger as Batman's most deadly enemy, The Joker. I can HONESTLY tell you that: as good as Jack Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker. He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY disturbing than the previous incarnation of The Clown Prince of Crime and Ledger gives it his all to do him justice. Along with the original cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal and more. I must say though I liked Katie Holmes, Gyllenhaal gives a much better performance and is a far cry from the ""damsel-in-distress"" stereotype (though there's a little of it, THANKFULLY) that's common in films. Bale and Gyllenhall have MUCH better chemistry this time around more so than Holmes. Even better, the fight sequences are vastly improved and feature more brutal and bone crushing combat than ""Begins"" in addition to new technology at Batman's disposal. Also worth mentioning is screenwriter Jonathan Nolan, who gives the film an added frosting to an already delicious cake. Simply put, The Dark Knight is totally more bad ass than ""Begins."" The action is great, and the plot is more deeper and engrossing. I applaud Christopher Nolan, Christian Bale, and especially Heath Ledger (who sadly passed away earlier this year) and all those aboard for believing in Mr. Nolan's talents for this second installment. Although some may feel a bit of melancholy over Ledger's death, but as a final note I will say this sincerely from my heart: Remember Heath Ledger and honor him in your minds and hearts not only for his performances, but as a human being and father to his daughter Matilda Ledger. May we issue him best wishes for his family and friends and his daughter for years to come. Remember . . . Honor him not only for this role and past roles, but as an incredible individual and talented actor. Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.",christoph nolan second bundl of joy the dark knight exceed all of my expect with the success of s reboot of the batman franchis they took what wa alreadi establish and expand it amp it up and gave a deeper darker and brood stori that is more grip and the suspens is like to catch you of guard sever time throughout christian bale delv more deeper into batman sworn to fight evil and injustic though also quit reluct and uncertain if hi crusad can ever end and clean hi inner turmoil from hi fractur soul due to the murder of hi belov parent but with the help of hi trust butler alfr play superbl by michael cane ground him give him moral support and keep him in check but the real star of the show is heath ledger a batman most deadli enemi the joker i can honestli tell you that a good a jack nicholson wa in batman he is child play compar to thi joker he is sadist psychot and downright scarier and psycholog disturb than the previou incarn of the clown princ of crime and ledger give it hi all to do him justic along with the origin cast come some fresh face such a aaron eckhart maggi gyllenha and more i must say though i like kati holm gyllenha give a much better perform and is a far cri from the damselindistress stereotyp though there a littl of it thank that common in film bale and gyllenhal have much better chemistri thi time around more so than holm even better the fight sequenc are vastli improv and featur more brutal and bone crush combat than begin in addit to new technolog at batman dispos also worth mention is screenwrit jonathan nolan who give the film an ad frost to an alreadi delici cake simpli put the dark knight is total more bad as than begin the action is great and the plot is more deeper and engross i applaud christoph nolan christian bale and especi heath ledger who sadli pas away earlier thi year and all those aboard for believ in mr nolan talent for thi second instal although some may feel a bit of melancholi over ledger death but a a final note i will say thi sincer from my heart rememb heath ledger and honor him in your mind and heart not onli for hi perform but a a human be and father to hi daughter matilda ledger may we issu him best wish for hi famili and friend and hi daughter for year to come rememb honor him not onli for thi role and past role but a an incred individu and talent actor rest in peac heath ledger,Neutral
"I saw the dark knight about three years ago when I was in the 8th grade. And I was blown away at how beautifully done it was, the camera work, the acting, the story, it all took me by surprise. It is to this day one of the best movies I have ever seen or will see. No other movie can impact you in such an intense way than The Dark Knight. It is a movie worth seeing due to the fact that the workers put so much time and effort into this one film and they did not want to waste money putting up garbage. So Christopher Nolan, thank you for not wasting our time, instead earning our time with this film. To this day I still am anxious to see the movie at home. I recommend it to anyone who likes action movies in general. To anyone who doesn't, don't waste your time write bad reviews about this film.",i saw the dark knight about three year ago when i wa in the th grade and i wa blown away at how beauti done it wa the camera work the act the stori it all took me by surpris it is to thi day one of the best movi i have ever seen or will see no other movi can impact you in such an intens way than the dark knight it is a movi worth see due to the fact that the worker put so much time and effort into thi one film and they did not want to wast money put up garbag so christoph nolan thank you for not wast our time instead earn our time with thi film to thi day i still am anxiou to see the movi at home i recommend it to anyon who like action movi in gener to anyon who doesnt dont wast your time write bad review about thi film,Neutral
"I used to leave a theatre after seeing a highly anticipated movie, specifically a sequel, and be so revved up about what I saw that I would declare that movie to be the best of a series. After each of the prequel ""Star Wars"" films, I rated that one the best, as good as any of the originals...for a time, until my opinion balanced out and I had a more well-rounded take. For that reason, I steer away from that mindset, and did for ""Dark Knight"".

Though my opinion is solidifying already after having seen a Warner Bros. screening last night, ""Dark Knight"" ably stands on its own with or without ""Batman Begins"". At a two and a half hour runtime, it's definitely an epic of a movie, but one that never runs out of gas. A delightful addition to this experience was a healthy amount of IMAX footage, which significantly adds to the feel of being on a personal, and gruesome, tour of Gotham City.

Christian Bale plays such a well rounded Batman and Bruce Wayne, qualities that none of those who have donned the cowl before him have pulled off. I still have to remember that Bale is British since he speaks with such a spot on American accent. Bale has a particular slurring lisp that serves him quite well, charmingly for Bruce Wayne and threateningly for Batman.

Countering him is the late Heath Ledger, who plays such a scary and creepy Joker that I found it impossible to NOT have chills half the time I saw him on screen. What really separates this brand of Joker from Jack Nicholson's portrayal is true unpredictability. It's obvious that, to be a good guy and think like the Joker, it really takes a toll, and it sure isn't easy. How exactly does one take him down when he's woven his harebrained plot around multiple hostages, explosives, or disappearing parlor tricks?

Initially, I was uneasy about how the character of Harvey Dent would be handled. In my mind, there was really only one faithful portrayal of him, and that could be found in the ""Batman"" animated series of the early 90s. As well as Tommy Lee Jones COULD have handled him in ""Batman Forever"", he certainly did not, though it still was a highlight of that movie. Aaron Eckhart ably assumes the mantle here, delivering a performance out of this world, easily on par with the Batman animated series.

Be it known, this caped avenger stands for the good of Gotham City that the police force and its counterparts can't represent, the good that has no jurisdiction, no procedures...and no rules, save for one. I can only hope that we've seen just the prelude to the Dark Knight's upcoming legendary battles with the worst of Gotham City's dark underside.

""The Dark Knight"" gets a solid 10 of 10 stars.",i use to leav a theatr after see a highli anticip movi specif a sequel and be so rev up about what i saw that i would declar that movi to be the best of a seri after each of the prequel star war film i rate that one the best a good a ani of the originalsfor a time until my opinion balanc out and i had a more wellround take for that reason i steer away from that mindset and did for dark knight though my opinion is solidifi alreadi after have seen a warner bro screen last night dark knight abli stand on it own with or without batman begin at a two and a half hour runtim it definit an epic of a movi but one that never run out of ga a delight addit to thi experi wa a healthi amount of imax footag which significantli add to the feel of be on a person and gruesom tour of gotham citi christian bale play such a well round batman and bruce wayn qualiti that none of those who have don the cowl befor him have pull off i still have to rememb that bale is british sinc he speak with such a spot on american accent bale ha a particular slur lisp that serv him quit well charmingli for bruce wayn and threateningli for batman counter him is the late heath ledger who play such a scari and creepi joker that i found it imposs to not have chill half the time i saw him on screen what realli separ thi brand of joker from jack nicholson portray is true unpredict it obviou that to be a good guy and think like the joker it realli take a toll and it sure isnt easi how exactli doe one take him down when he woven hi harebrain plot around multipl hostag explos or disappear parlor trick initi i wa uneasi about how the charact of harvey dent would be handl in my mind there wa realli onli one faith portray of him and that could be found in the batman anim seri of the earli s a well a tommi lee jone could have handl him in batman forev he certainli did not though it still wa a highlight of that movi aaron eckhart abli assum the mantl here deliv a perform out of thi world easili on par with the batman anim seri be it known thi cape aveng stand for the good of gotham citi that the polic forc and it counterpart cant repres the good that ha no jurisdict no proceduresand no rule save for one i can onli hope that weve seen just the prelud to the dark knight upcom legendari battl with the worst of gotham citi dark undersid the dark knight get a solid of star,Positive
"I had the honor of watching TDK during a screening and was completely blown away! This isn't just the best Batman movie ever made, this is one of the best movie ever made. Everything in this film is excellent, not one piece of annoyance.

Bale marvels as Bruce Wayne/Batman, Ledger has made The Joker in to an iconic movie villain. His performance belongs there at the top with Hopkins Lecter. The Joker has finally been portrait properly on film, he has earned his place between the big boys in movie villandom. This is the true Joker every Batman fan knows, loves and fears. Ledger deserves any and every movie award known to man for this brilliant display.

Nolan has made his ""I will always be remembered"" movie, this is the crownjewel in his portfolio. Perfect directing, perfect story, perfect balance between action and drama, everything is perfect.

Even if you hate Batman, you will love this film. If you don't, then something beez wrongz with youz!",i had the honor of watch tdk dure a screen and wa complet blown away thi isnt just the best batman movi ever made thi is one of the best movi ever made everyth in thi film is excel not one piec of annoy bale marvel a bruce waynebatman ledger ha made the joker in to an icon movi villain hi perform belong there at the top with hopkin lecter the joker ha final been portrait properli on film he ha earn hi place between the big boy in movi villandom thi is the true joker everi batman fan know love and fear ledger deserv ani and everi movi award known to man for thi brilliant display nolan ha made hi i will alway be rememb movi thi is the crownjewel in hi portfolio perfect direct perfect stori perfect balanc between action and drama everyth is perfect even if you hate batman you will love thi film if you dont then someth beez wrongz with youz,Positive
"This film is not the masterpiece that IMDb seems to assign it as. No doubt it's good, especially the tension and the performance of Heath Ledger, but I never saw it as amazing. It's far too long and there are plot holes large enough to drive the school bus through.",thi film is not the masterpiec that imdb seem to assign it a no doubt it good especi the tension and the perform of heath ledger but i never saw it a amaz it far too long and there are plot hole larg enough to drive the school bu through,Neutral
"*level of enjoyment* #10 top tier - from start to finish The Dark Knight has you on the edge of your seat, enjoying every minute

*likelihood to recommend* #10 highest recommendation - if you haven't seen it, watch it, it is a masterpiece, the downside? likely to put all future Batman features to shame

*quality of acting* #9 excellent - Bale is the gold standard Batman, gruff, tough, aloof, positively fueled by the tragedies of his dark past. Ledger is the nightmare villain, twisted, evil, unapologetic, irrational, completely void of a moral compass

*quality of writing* #10 perfection - one of those movies you wish you could have a memory edit in order to watch again and again

*quality of intangibles* #8 excellent - visual is on point, dark gloomy Gotham, perfect setting for a hero to operate and succeed from the shadows very good - music and sound puts viewers in the mood and anticipating the next intense scene",level of enjoy top tier from start to finish the dark knight ha you on the edg of your seat enjoy everi minut likelihood to recommend highest recommend if you havent seen it watch it it is a masterpiec the downsid like to put all futur batman featur to shame qualiti of act excel bale is the gold standard batman gruff tough aloof posit fuel by the tragedi of hi dark past ledger is the nightmar villain twist evil unapologet irrat complet void of a moral compass qualiti of write perfect one of those movi you wish you could have a memori edit in order to watch again and again qualiti of intang excel visual is on point dark gloomi gotham perfect set for a hero to oper and succeed from the shadow veri good music and sound put viewer in the mood and anticip the next intens scene,Neutral
The dark knight is the best movie I have ever seen in my life,the dark knight is the best movi i have ever seen in my life,Neutral
"Well here it is, one of the most anticipated movies of the year so far. How was it? It was excellent. By far the best Batman film ever made and of course it will be one of the most memorable action films for a long while.

Everyone was waiting to see how well Heath Ledger performed as The Joker in this film. He definitely deserves an Oscar in his honor. The character was so dark and creepy that it sent chills up my back. Compared to Heath's other films like '10 Things I Hate About You' and even 'Brokeback Mountain' proves that this man could actually act, doesn't matter what character, he could do it.

The film's storyline has many twists and all are rewarding, the story is developed constantly after each scene, making you wonder what's next. Excellent craft and flows well towards the conclusion.

During the film on the scene with Batman against the Joker, Bike vs Truck. People thought this was the ending. No, it kept going which was awesome, the story kept getting darker and darker, I guess that's why they called it the 'Dark' Knight as well as the relation to Batman himself.

The cast was great. With Christopher Nolan playing Batman, good performance, Heath Ledger played extremely well, Maggie was annoying at times, but still deserves to be praised. Michael Caine and Morgan Freeman had minor roles which satisfied the audiences. Aaron Eckhart starts with a minor role which slowly progresses and becomes evil which is quite surprising and entertaining to watch.

Great directing made the movie enjoyable, they added more action this time which made the film feel powerful, lighting was done well especially showing Harvey/ Two Face's face in the many moods he displayed.

Great explosions made it entertaining. Made you feel great that this is finally the best action to come in a long time.

This movie deserves a 10/10 rating and credit on behalf of the great young actor Heath Ledger's life. (May he R.I.P) His performance made what this film is right now.

I recommend this film for any action fan, especially a Batman fan. Or if your even a Heath Ledger fan. Go ahead right now and see this film. It's great!",well here it is one of the most anticip movi of the year so far how wa it it wa excel by far the best batman film ever made and of cours it will be one of the most memor action film for a long while everyon wa wait to see how well heath ledger perform a the joker in thi film he definit deserv an oscar in hi honor the charact wa so dark and creepi that it sent chill up my back compar to heath other film like thing i hate about you and even brokeback mountain prove that thi man could actual act doesnt matter what charact he could do it the film storylin ha mani twist and all are reward the stori is develop constantli after each scene make you wonder what next excel craft and flow well toward the conclus dure the film on the scene with batman against the joker bike v truck peopl thought thi wa the end no it kept go which wa awesom the stori kept get darker and darker i guess that whi they call it the dark knight a well a the relat to batman himself the cast wa great with christoph nolan play batman good perform heath ledger play extrem well maggi wa annoy at time but still deserv to be prais michael cain and morgan freeman had minor role which satisfi the audienc aaron eckhart start with a minor role which slowli progress and becom evil which is quit surpris and entertain to watch great direct made the movi enjoy they ad more action thi time which made the film feel power light wa done well especi show harvey two face face in the mani mood he display great explos made it entertain made you feel great that thi is final the best action to come in a long time thi movi deserv a rate and credit on behalf of the great young actor heath ledger life may he rip hi perform made what thi film is right now i recommend thi film for ani action fan especi a batman fan or if your even a heath ledger fan go ahead right now and see thi film it great,Neutral
"This is the best superhero movie ever made!!!! If you like to watch superhero movies then you should definitely watch this.

However, I must say that this movie is much more than just a superhero movie. If you don't like superhero movie but want to watch a good drama/action movie then this is one of the best.",thi is the best superhero movi ever made if you like to watch superhero movi then you should definit watch thi howev i must say that thi movi is much more than just a superhero movi if you dont like superhero movi but want to watch a good dramaact movi then thi is one of the best,Neutral
"The actors, the script, the scenery make it one of the best movies I have ever seen. The best-played character of the joker is amazing. That's how I imagined him. In the film, he is portrayed as an ultra-intelligent person with a psychopathic ""brain"". Honestly, I was very surprised that someone known for their niche productions would play such a good role as one of the most important characters in the Batman series. Unfortunately, we will probably never see the joker so well again, because Heath Ledger, from unknown circumstances, died. This is sad news. However, back to the movie. The main character, Batman, played by Christian Bale, also shows the character very well. Therefore, my rating for this movie is 10/10.",the actor the script the sceneri make it one of the best movi i have ever seen the bestplay charact of the joker is amaz that how i imagin him in the film he is portray a an ultraintellig person with a psychopath brain honestli i wa veri surpris that someon known for their nich product would play such a good role a one of the most import charact in the batman seri unfortun we will probabl never see the joker so well again becaus heath ledger from unknown circumst die thi is sad news howev back to the movi the main charact batman play by christian bale also show the charact veri well therefor my rate for thi movi is,Neutral
"When I went to the cinema to see Indiana Jones 4 I remember seeing a trailer for 'The Dark Knight'. It was dark, full of explosions and looked really cool. Being a huge fan of Batman and the two Burton films I couldn't wait to see it. While I never saw it in cinemas, I remember my friends telling me it was amazing and one of the best films ever. Fast forward to when I finally got to see the film and it was a different story.

Two and a half hours of the most pretentious, boring and disappointing film I had ever seen. Lets start with the plot(s). Basically, the Joker (atleast that's what they call him) starts killing people and causing mayhem, meaning Batman has to stop him. Sounds simple but the film spoils this by having too many plot lines, most of which have nothing to do with the actual plot, don't last long enough to be interesting and could have been easily cut out to make a shorter and easier to follow plot.

Now for the hero and villain. Batman is played by Christian Bale and comes complete with an over the top gruff voice, which sounds like he smoked a entire packet of cigarettes while doing a cross country marathon. He's nowhere near as dark or as intimidating as Keaton's Batman and isn't very engaging as Bruce either. Now for the reason the film is considered to be so great, Heath Ledger as the Joker. Ledger is the main driving point of the film and the most interesting character. He plays the role very convincingly and I'll admit is the best part of the film, even though they could have called him anything else instead of 'the Joker' and it would have been the same.

And that's my biggest problem with this film, it doesn't feel like a Batman film. Batman has always been a surreal franchise, meaning it walks on a line between the real world and a fantasy world. Why does Gotham City just look like and regular city? Why does the Joker not have any comical death contraptions? Why does the Batmobile look like a tank? Where are all Batman's unique gadgets? The problem is Nolan doesn't understand that a man who dresses up as a Bat and fight crime can't be taken completely seriously. Burton made a surreal world for Batman and Batman Returns, creating a perfect environment for his films. But with Nolan, all I think of is just a crime drama with Batman in it. The Joker could have been just a psycho with makeup.

The pacing is also a flaw. Sometimes the film moves too quickly for us to digest what's going on and other time it goes to slow that we lose interest. Only reason people loved it was for Heath Ledger's amazing performance and his unfortunate passing away before the film's release, and even that doesn't fit the bill for a 'Batman' movie. To sum up, 'The Dark Knight' will go down in history as the most overrated film ever made.",when i went to the cinema to see indiana jone i rememb see a trailer for the dark knight it wa dark full of explos and look realli cool be a huge fan of batman and the two burton film i couldnt wait to see it while i never saw it in cinema i rememb my friend tell me it wa amaz and one of the best film ever fast forward to when i final got to see the film and it wa a differ stori two and a half hour of the most pretenti bore and disappoint film i had ever seen let start with the plot basic the joker atleast that what they call him start kill peopl and caus mayhem mean batman ha to stop him sound simpl but the film spoil thi by have too mani plot line most of which have noth to do with the actual plot dont last long enough to be interest and could have been easili cut out to make a shorter and easier to follow plot now for the hero and villain batman is play by christian bale and come complet with an over the top gruff voic which sound like he smoke a entir packet of cigarett while do a cross countri marathon he nowher near a dark or a intimid a keaton batman and isnt veri engag a bruce either now for the reason the film is consid to be so great heath ledger a the joker ledger is the main drive point of the film and the most interest charact he play the role veri convincingli and ill admit is the best part of the film even though they could have call him anyth el instead of the joker and it would have been the same and that my biggest problem with thi film it doesnt feel like a batman film batman ha alway been a surreal franchis mean it walk on a line between the real world and a fantasi world whi doe gotham citi just look like and regular citi whi doe the joker not have ani comic death contrapt whi doe the batmobil look like a tank where are all batman uniqu gadget the problem is nolan doesnt understand that a man who dress up a a bat and fight crime cant be taken complet serious burton made a surreal world for batman and batman return creat a perfect environ for hi film but with nolan all i think of is just a crime drama with batman in it the joker could have been just a psycho with makeup the pace is also a flaw sometim the film move too quickli for u to digest what go on and other time it goe to slow that we lose interest onli reason peopl love it wa for heath ledger amaz perform and hi unfortun pas away befor the film releas and even that doesnt fit the bill for a batman movi to sum up the dark knight will go down in histori a the most overr film ever made,Negative
"Batman takes on the crime lords with the help of Lieutenant Jim Gordon and District Attorney Harvey Dent. However an even bigger evil rises to terrorize Gotham.

Maggie Gyllenhaal is an improvement over Katie Holmes as Rachel Dawes. Aaron Eckhart adds a good performance as Harvey Dent. In the end, this is Heath Ledger's movie. He overpowers everybody. His early death may have immortalized him, but my opinion isn't inflated. His presence is electric. It helps that his character is so ridiculously crazy. His motivation has nothing to do with power or money which is so mundane. He wants chaos and that is so much more fascinating. Heath Ledger makes this movie great. And it surpasses the series reboot 'Batman Begins'.",batman take on the crime lord with the help of lieuten jim gordon and district attorney harvey dent howev an even bigger evil rise to terror gotham maggi gyllenha is an improv over kati holm a rachel daw aaron eckhart add a good perform a harvey dent in the end thi is heath ledger movi he overpow everybodi hi earli death may have immort him but my opinion isnt inflat hi presenc is electr it help that hi charact is so ridicul crazi hi motiv ha noth to do with power or money which is so mundan he want chao and that is so much more fascin heath ledger make thi movi great and it surpass the seri reboot batman begin,Neutral
